"LISTING_ID","HOST_ID","PROPERTY_TYPE","ROOM_TYPE","CITY","COUNTRY","ACCOMMODATES","BEDROOMS","BATHROOMS","PRICE_PER_NIGHT","BEDROOM_DENSITY","PRICE_PER_PERSON","PRICE_PER_NIGHT_TAG","LISTING_CREATED_AT","ETL_LOADED_AT","DBT_SCD_ID","DBT_UPDATED_AT","DBT_VALID_FROM","DBT_VALID_TO"
500013,10089,"APARTMENT","Entire home/apt","lyon","france",7,3,3,176,0.43,25.14,"MID_RANGE","2019-01-17 04:00:04.000","2026-08-06T10:58:24","0b5cdce91cbccfd793f0a8e735cace77","2019-01-17 04:00:04.000","2019-01-17 04:00:04.000","9999-12-31 00:00:00.000"
500014,10063,"APARTMENT","Entire home/apt","lille","france",7,3,3,142,0.43,20.29,"MID_RANGE","2024-07-16 11:42:23.000","2026-08-06T10:58:24","942475f22cdf154a11831738d6048d03","2024-07-16 11:42:23.000","2024-07-16 11:42:23.000","9999-12-31 00:00:00.000"
500015,10098,"STUDIO","Entire home/apt","nice","france",2,0,1,82,0.00,41.00,"MID_RANGE","2019-07-14 21:39:55.000","2026-08-06T10:58:24","d93b05c8ccc4e9d96a5059d0911694ca","2019-07-14 21:39:55.000","2019-07-14 21:39:55.000","9999-12-31 00:00:00.000"
500016,10056,"APARTMENT","Entire home/apt","paris","france",1,1,1,97,1.00,97.00,"MID_RANGE","2023-10-08 12:14:05.000","2026-08-06T10:58:24","31702853b01def5c5d658ea0a709097c","2023-10-08 12:14:05.000","2023-10-08 12:14:05.000","9999-12-31 00:00:00.000"
500017,10064,"APARTMENT","Entire home/apt","strasbourg","france",4,2,2,106,0.50,26.50,"MID_RANGE","2024-09-23 22:27:43.000","2026-08-06T10:58:24","a085470f7888154f4bf51f2263895c8c","2024-09-23 22:27:43.000","2024-09-23 22:27:43.000","9999-12-31 00:00:00.000"
500018,10021,"CONDOMINIUM","Hotel room","paris","france",5,2,2,162,0.40,32.40,"MID_RANGE","2020-01-09 09:49:59.000","2026-08-06T10:58:24","ac0dc344c910f2d207778f251f39b368","2020-01-09 09:49:59.000","2020-01-09 09:49:59.000","9999-12-31 00:00:00.000"
500019,10062,"APARTMENT","Entire home/apt","paris","france",5,2,2,145,0.40,29.00,"MID_RANGE","2025-02-02 20:10:40.000","2026-08-06T10:58:24","a6536d20c643707096aad95ee5c5e557","2025-02-02 20:10:40.000","2025-02-02 20:10:40.000","9999-12-31 00:00:00.000"
500020,10073,"LOFT","Hotel room","lille","france",7,3,3,115,0.43,16.43,"MID_RANGE","2020-08-24 23:20:58.000","2026-08-06T10:58:24","6c8994306285c6004ecca85d21eb5f0c","2020-08-24 23:20:58.000","2020-08-24 23:20:58.000","9999-12-31 00:00:00.000"
500021,10046,"APARTMENT","Entire home/apt","paris","france",7,3,2,230,0.43,32.86,"LUXURY","2021-11-26 21:56:49.000","2026-08-06T10:58:24","5bcb3a0a3a1004fee00ba71e39f5dbab","2021-11-26 21:56:49.000","2021-11-26 21:56:49.000","9999-12-31 00:00:00.000"
500022,10057,"APARTMENT","Entire home/apt","paris","france",4,2,2,138,0.50,34.50,"MID_RANGE","2021-06-03 04:02:15.000","2026-08-06T10:58:24","c6077242134d22466eb0080bc8c4eaf4","2021-06-03 04:02:15.000","2021-06-03 04:02:15.000","9999-12-31 00:00:00.000"
500023,10068,"APARTMENT","Entire home/apt","marseille","france",4,2,2,112,0.50,28.00,"MID_RANGE","2023-01-31 14:55:58.000","2026-08-06T10:58:24","1a83c32815f6ff60960169669b637d6a","2023-01-31 14:55:58.000","2023-01-31 14:55:58.000","9999-12-31 00:00:00.000"
500024,10029,"LOFT","Hotel room","lille","france",6,3,2,102,0.50,17.00,"MID_RANGE","2022-04-17 22:52:34.000","2026-08-06T10:58:24","6b0c33595bce4a0384a9ef82cf62b734","2022-04-17 22:52:34.000","2022-04-17 22:52:34.000","9999-12-31 00:00:00.000"
500025,10059,"LOFT","Entire home/apt","lyon","france",5,2,2,103,0.40,20.60,"MID_RANGE","2023-01-07 03:16:48.000","2026-08-06T10:58:24","65869a10b73ab41ca81d303865b23221","2023-01-07 03:16:48.000","2023-01-07 03:16:48.000","9999-12-31 00:00:00.000"
500026,10072,"HOUSE","Entire home/apt","lyon","france",12,5,3,233,0.42,19.42,"LUXURY","2022-02-26 00:04:50.000","2026-08-06T10:58:24","908f3158e58b56d6b1db4778ad740f46","2022-02-26 00:04:50.000","2022-02-26 00:04:50.000","9999-12-31 00:00:00.000"
500027,10039,"APARTMENT","Entire home/apt","montpellier","france",5,3,3,108,0.60,21.60,"MID_RANGE","2022-01-21 09:58:17.000","2026-08-06T10:58:24","2cb08175236b3d774b13cc9fed349bf1","2022-01-21 09:58:17.000","2022-01-21 09:58:17.000","9999-12-31 00:00:00.000"
500028,10054,"LOFT","Private room","bordeaux","france",5,3,3,74,0.60,14.80,"BUDGET","2020-08-08 01:41:34.000","2026-08-06T10:58:24","e2e036f846833382ca5c0b431e212c4d","2020-08-08 01:41:34.000","2020-08-08 01:41:34.000","9999-12-31 00:00:00.000"
500029,10028,"CONDOMINIUM","Private room","marseille","france",3,1,1,49,0.33,16.33,"BUDGET","2021-08-06 17:58:50.000","2026-08-06T10:58:24","bfa0fea06853f5e5658dc909ed2c119a","2021-08-06 17:58:50.000","2021-08-06 17:58:50.000","9999-12-31 00:00:00.000"
500030,10036,"APARTMENT","Private room","paris","france",3,2,1,79,0.67,26.33,"MID_RANGE","2024-08-02 03:00:05.000","2026-08-06T10:58:24","d424055711bec3c57a4b54e7e4d2ba19","2024-08-02 03:00:05.000","2024-08-02 03:00:05.000","9999-12-31 00:00:00.000"
500031,10043,"APARTMENT","Entire home/apt","paris","france",3,1,1,141,0.33,47.00,"MID_RANGE","2022-06-21 20:13:06.000","2026-08-06T10:58:24","1328567c7bdd1bcafb93cf28ec8e056e","2022-06-21 20:13:06.000","2022-06-21 20:13:06.000","9999-12-31 00:00:00.000"
500032,10077,"STUDIO","Entire home/apt","paris","france",1,0,1,129,0.00,129.00,"MID_RANGE","2025-08-25 11:47:32.000","2026-08-06T10:58:24","88027623ec1c12f3d825a8b4105a8061","2025-08-25 11:47:32.000","2025-08-25 11:47:32.000","9999-12-31 00:00:00.000"
500033,10017,"STUDIO","Entire home/apt","paris","france",2,0,1,101,0.00,50.50,"MID_RANGE","2022-04-26 15:18:27.000","2026-08-06T10:58:24","b82cf1579657e7404e54a0bf8b5fb67a","2022-04-26 15:18:27.000","2022-04-26 15:18:27.000","9999-12-31 00:00:00.000"
500034,10068,"APARTMENT","Entire home/apt","paris","france",5,2,1,175,0.40,35.00,"MID_RANGE","2022-09-28 07:48:56.000","2026-08-06T10:58:24","2bdc0675858f0a479fa9560185b63d81","2022-09-28 07:48:56.000","2022-09-28 07:48:56.000","9999-12-31 00:00:00.000"
500035,10085,"APARTMENT","Shared room","marseille","france",2,1,1,25,0.50,12.50,"BUDGET","2026-01-16 14:58:18.000","2026-08-06T10:58:24","776719933230de4b4791ae8fa13acd75","2026-01-16 14:58:18.000","2026-01-16 14:58:18.000","9999-12-31 00:00:00.000"
500036,10057,"APARTMENT","Entire home/apt","paris","france",1,1,1,121,1.00,121.00,"MID_RANGE","2022-01-21 03:51:12.000","2026-08-06T10:58:24","8f09943a068ca947576ab3f471d905e7","2022-01-21 03:51:12.000","2022-01-21 03:51:12.000","9999-12-31 00:00:00.000"
500037,10049,"APARTMENT","Entire home/apt","montpellier","france",6,3,2,137,0.50,22.83,"MID_RANGE","2019-07-16 04:44:02.000","2026-08-06T10:58:24","5bb38070ff3ba46f7f49d8118777f063","2019-07-16 04:44:02.000","2019-07-16 04:44:02.000","9999-12-31 00:00:00.000"
500038,10099,"STUDIO","Entire home/apt","bordeaux","france",1,0,1,79,0.00,79.00,"MID_RANGE","2023-08-17 02:14:06.000","2026-08-06T10:58:24","ce24d0f99d03144b8bb75ea0aa0d48a1","2023-08-17 02:14:06.000","2023-08-17 02:14:06.000","9999-12-31 00:00:00.000"
500039,10013,"APARTMENT","Entire home/apt","lyon","france",3,1,1,78,0.33,26.00,"MID_RANGE","2023-11-21 08:17:49.000","2026-08-06T10:58:24","37a16f0ce2b73d3428e9e005104dd11c","2023-11-21 08:17:49.000","2023-11-21 08:17:49.000","9999-12-31 00:00:00.000"
500040,10096,"STUDIO","Entire home/apt","toulouse","france",2,0,1,66,0.00,33.00,"BUDGET","2025-12-27 21:37:07.000","2026-08-06T10:58:24","1835a12eac957969640e44f4824758b1","2025-12-27 21:37:07.000","2025-12-27 21:37:07.000","9999-12-31 00:00:00.000"
500041,10093,"APARTMENT","Entire home/apt","paris","france",3,1,1,118,0.33,39.33,"MID_RANGE","2025-07-15 04:59:16.000","2026-08-06T10:58:24","e0e95683507a611a08237618603435e6","2025-07-15 04:59:16.000","2025-07-15 04:59:16.000","9999-12-31 00:00:00.000"
500042,10045,"APARTMENT","Private room","lille","france",5,3,3,60,0.60,12.00,"BUDGET","2020-11-29 19:39:04.000","2026-08-06T10:58:24","5d999fc4aee5289907daedb0590e8f5e","2020-11-29 19:39:04.000","2020-11-29 19:39:04.000","9999-12-31 00:00:00.000"
500043,10083,"HOUSE","Entire home/apt","bordeaux","france",8,4,2,160,0.50,20.00,"MID_RANGE","2026-08-05 23:59:59.000","2026-08-06T10:58:24","f4cd57988d6d6c501fd3c39d04160a2e","2026-08-05 23:59:59.000","2026-08-05 23:59:59.000","9999-12-31 00:00:00.000"
500044,10045,"STUDIO","Entire home/apt","paris","france",2,0,1,100,0.00,50.00,"MID_RANGE","2020-09-22 00:05:08.000","2026-08-06T10:58:24","e0ef5a159c148a60e3f19186dd8f7812","2020-09-22 00:05:08.000","2020-09-22 00:05:08.000","9999-12-31 00:00:00.000"
500045,10068,"APARTMENT","Entire home/apt","paris","france",4,2,2,174,0.50,43.50,"MID_RANGE","2023-03-24 07:52:06.000","2026-08-06T10:58:24","778fe099c94ee4c3ef52bf49fafa4896","2023-03-24 07:52:06.000","2023-03-24 07:52:06.000","9999-12-31 00:00:00.000"
500046,10007,"LOFT","Entire home/apt","paris","france",2,1,1,123,0.50,61.50,"MID_RANGE","2026-02-07 03:23:32.000","2026-08-06T10:58:24","5e20b0884fbaf89c8abba6d843a58224","2026-02-07 03:23:32.000","2026-02-07 03:23:32.000","9999-12-31 00:00:00.000"
500047,10035,"APARTMENT","Entire home/apt","paris","france",2,1,1,117,0.50,58.50,"MID_RANGE","2022-01-11 19:20:29.000","2026-08-06T10:58:24","d6d0b4ebef8963f9f6e47fb2c653d62b","2022-01-11 19:20:29.000","2022-01-11 19:20:29.000","9999-12-31 00:00:00.000"
500048,10077,"APARTMENT","Shared room","paris","france",2,1,1,32,0.50,16.00,"BUDGET","2025-07-03 05:39:58.000","2026-08-06T10:58:24","09872881e6b43fb8733d304680535fc3","2025-07-03 05:39:58.000","2025-07-03 05:39:58.000","9999-12-31 00:00:00.000"
500049,10023,"APARTMENT","Entire home/apt","paris","france",7,3,3,184,0.43,26.29,"MID_RANGE","2019-11-22 16:40:35.000","2026-08-06T10:58:24","cf9c73e38a1f600c44cecc7131e5ddf1","2019-11-22 16:40:35.000","2019-11-22 16:40:35.000","9999-12-31 00:00:00.000"
500050,10059,"STUDIO","Entire home/apt","strasbourg","france",2,0,1,68,0.00,34.00,"BUDGET","2023-04-04 12:35:19.000","2026-08-06T10:58:24","87ba92faf3c943c2c02a6f5fde1b51bc","2023-04-04 12:35:19.000","2023-04-04 12:35:19.000","9999-12-31 00:00:00.000"
500051,10080,"HOUSE","Entire home/apt","marseille","france",10,5,2,175,0.50,17.50,"MID_RANGE","2023-09-02 11:47:49.000","2026-08-06T10:58:24","4d89a93d26b2765d643286e42bf5ff1b","2023-09-02 11:47:49.000","2023-09-02 11:47:49.000","9999-12-31 00:00:00.000"
500052,10040,"APARTMENT","Private room","toulouse","france",3,1,1,45,0.33,15.00,"BUDGET","2023-10-05 07:50:39.000","2026-08-06T10:58:24","9e934c4770b67e1376ab66b947731dd4","2023-10-05 07:50:39.000","2023-10-05 07:50:39.000","9999-12-31 00:00:00.000"
500053,10083,"APARTMENT","Entire home/apt","nantes","france",1,1,1,75,1.00,75.00,"MID_RANGE","2026-08-05 23:59:59.000","2026-08-06T10:58:24","69df99a86120fe00ef918b8b99d08918","2026-08-05 23:59:59.000","2026-08-05 23:59:59.000","9999-12-31 00:00:00.000"
500054,10081,"LOFT","Private room","marseille","france",5,2,2,71,0.40,14.20,"BUDGET","2024-06-14 18:30:45.000","2026-08-06T10:58:24","ebb042300e10fe74e8cafe387ccec4bb","2024-06-14 18:30:45.000","2024-06-14 18:30:45.000","9999-12-31 00:00:00.000"
500055,10009,"HOUSE","Private room","marseille","france",5,2,1,58,0.40,11.60,"BUDGET","2024-08-23 21:47:58.000","2026-08-06T10:58:24","fc4d022ceff76f18be722b32447e07f3","2024-08-23 21:47:58.000","2024-08-23 21:47:58.000","9999-12-31 00:00:00.000"
500056,10037,"STUDIO","Private room","paris","france",2,0,1,65,0.00,32.50,"BUDGET","2020-11-12 11:08:49.000","2026-08-06T10:58:24","590d2c98ba0acbdc43e0b3c4d759bfdf","2020-11-12 11:08:49.000","2020-11-12 11:08:49.000","9999-12-31 00:00:00.000"
500057,10074,"APARTMENT","Entire home/apt","nice","france",1,1,1,85,1.00,85.00,"MID_RANGE","2023-10-01 21:50:39.000","2026-08-06T10:58:24","7a3fa92fdbb45f8392187b35145bcda1","2023-10-01 21:50:39.000","2023-10-01 21:50:39.000","9999-12-31 00:00:00.000"
500058,10083,"APARTMENT","Entire home/apt","paris","france",5,2,1,169,0.40,33.80,"MID_RANGE","2026-02-22 21:41:14.000","2026-08-06T10:58:24","9cfe2cd299d351fd3eeaac9b6785eddd","2026-02-22 21:41:14.000","2026-02-22 21:41:14.000","9999-12-31 00:00:00.000"
500059,10044,"APARTMENT","Entire home/apt","nice","france",3,2,2,100,0.67,33.33,"MID_RANGE","2021-05-21 01:58:03.000","2026-08-06T10:58:24","d47ce39423fea93ee3eafc5bef454dad","2021-05-21 01:58:03.000","2021-05-21 01:58:03.000","9999-12-31 00:00:00.000"
500060,10093,"CONDOMINIUM","Entire home/apt","lille","france",2,1,1,65,0.50,32.50,"BUDGET","2025-01-22 08:24:51.000","2026-08-06T10:58:24","e262babede4e6aba6f79656232eb736b","2025-01-22 08:24:51.000","2025-01-22 08:24:51.000","9999-12-31 00:00:00.000"
500061,10090,"APARTMENT","Private room","nice","france",2,1,1,58,0.50,29.00,"BUDGET","2019-03-31 01:25:47.000","2026-08-06T10:58:24","79652cd7de209493c8630ed69d5682a0","2019-03-31 01:25:47.000","2019-03-31 01:25:47.000","9999-12-31 00:00:00.000"
500062,10095,"VILLA","Entire home/apt","montpellier","france",12,5,3,163,0.42,13.58,"MID_RANGE","2018-11-10 19:18:04.000","2026-08-06T10:58:24","18d7cc4bbd204de3df99ef8d0bcaf02d","2018-11-10 19:18:04.000","2018-11-10 19:18:04.000","9999-12-31 00:00:00.000"
500063,10099,"APARTMENT","Entire home/apt","marseille","france",2,1,1,74,0.50,37.00,"BUDGET","2023-09-30 13:43:53.000","2026-08-06T10:58:24","04c17a19fb18ebcbf5df4d4b6b3f0005","2023-09-30 13:43:53.000","2023-09-30 13:43:53.000","9999-12-31 00:00:00.000"
500064,10005,"STUDIO","Entire home/apt","nice","france",2,0,1,87,0.00,43.50,"MID_RANGE","2023-01-23 10:26:04.000","2026-08-06T10:58:24","8d5b368e9021c598e4614e3be38f09c9","2023-01-23 10:26:04.000","2023-01-23 10:26:04.000","9999-12-31 00:00:00.000"
500065,10022,"APARTMENT","Entire home/apt","toulouse","france",5,3,3,110,0.60,22.00,"MID_RANGE","2019-02-21 06:55:25.000","2026-08-06T10:58:24","84a0f3912f21dcb3c24c960709d6d972","2019-02-21 06:55:25.000","2019-02-21 06:55:25.000","9999-12-31 00:00:00.000"
500066,10030,"APARTMENT","Private room","bordeaux","france",3,2,2,58,0.67,19.33,"BUDGET","2020-08-14 16:07:36.000","2026-08-06T10:58:24","217fdfe1699789d3908de66baab947e1","2020-08-14 16:07:36.000","2020-08-14 16:07:36.000","9999-12-31 00:00:00.000"
500067,10037,"APARTMENT","Entire home/apt","nantes","france",1,1,1,78,1.00,78.00,"MID_RANGE","2019-11-27 06:10:46.000","2026-08-06T10:58:24","e8b6a572b3317d84942a37b881a8de93","2019-11-27 06:10:46.000","2019-11-27 06:10:46.000","9999-12-31 00:00:00.000"
500068,10048,"APARTMENT","Private room","bordeaux","france",2,1,1,51,0.50,25.50,"BUDGET","2021-07-17 12:51:06.000","2026-08-06T10:58:24","d5660a43602a5ad989b9909dbb355a7f","2021-07-17 12:51:06.000","2021-07-17 12:51:06.000","9999-12-31 00:00:00.000"
500069,10019,"APARTMENT","Private room","lille","france",4,2,1,46,0.50,11.50,"BUDGET","2024-07-17 00:57:10.000","2026-08-06T10:58:24","a280977129e52bb8e9ea932c1418fbc2","2024-07-17 00:57:10.000","2024-07-17 00:57:10.000","9999-12-31 00:00:00.000"
500070,10050,"APARTMENT","Entire home/apt","montpellier","france",3,1,1,94,0.33,31.33,"MID_RANGE","2022-02-10 04:43:55.000","2026-08-06T10:58:24","d4897d71cc3eee32845c5b9629d2274f","2022-02-10 04:43:55.000","2022-02-10 04:43:55.000","9999-12-31 00:00:00.000"
500071,10061,"APARTMENT","Private room","nice","france",5,2,1,98,0.40,19.60,"MID_RANGE","2019-07-20 22:53:45.000","2026-08-06T10:58:24","43ec3932fe9521a8e748f72640ca3f81","2019-07-20 22:53:45.000","2019-07-20 22:53:45.000","9999-12-31 00:00:00.000"
500072,10020,"LOFT","Entire home/apt","bordeaux","france",2,1,1,78,0.50,39.00,"MID_RANGE","2020-07-02 03:50:08.000","2026-08-06T10:58:24","a0b7ca62d55786f6e10e1f07a6ece78f","2020-07-02 03:50:08.000","2020-07-02 03:50:08.000","9999-12-31 00:00:00.000"
500073,10080,"APARTMENT","Private room","marseille","france",7,3,2,81,0.43,11.57,"MID_RANGE","2023-11-30 03:27:33.000","2026-08-06T10:58:24","ee65a9d4f181bc62a803f8f73fe743d8","2023-11-30 03:27:33.000","2023-11-30 03:27:33.000","9999-12-31 00:00:00.000"
500074,10038,"HOUSE","Entire home/apt","marseille","france",10,5,2,181,0.50,18.10,"MID_RANGE","2026-01-06 06:29:40.000","2026-08-06T10:58:24","fbcc4156bb160ee38239d84e4bf7f20e","2026-01-06 06:29:40.000","2026-01-06 06:29:40.000","9999-12-31 00:00:00.000"
500075,10065,"APARTMENT","Entire home/apt","nantes","france",3,2,2,95,0.67,31.67,"MID_RANGE","2023-01-18 12:04:35.000","2026-08-06T10:58:24","df1b7b4b63b42c20ce3fdc7268cbacc3","2023-01-18 12:04:35.000","2023-01-18 12:04:35.000","9999-12-31 00:00:00.000"
500076,10009,"LOFT","Entire home/apt","lyon","france",7,3,3,129,0.43,18.43,"MID_RANGE","2024-07-04 14:06:27.000","2026-08-06T10:58:24","da2dfd4f4b48d9488d8a50300e0133e4","2024-07-04 14:06:27.000","2024-07-04 14:06:27.000","9999-12-31 00:00:00.000"
500077,10083,"LOFT","Entire home/apt","paris","france",6,3,2,222,0.50,37.00,"LUXURY","2025-11-03 08:03:54.000","2026-08-06T10:58:24","afbe8c5108193d72bb30286bf2ddd7d4","2025-11-03 08:03:54.000","2025-11-03 08:03:54.000","9999-12-31 00:00:00.000"
500078,10005,"APARTMENT","Entire home/apt","paris","france",2,1,1,116,0.50,58.00,"MID_RANGE","2022-11-08 05:50:09.000","2026-08-06T10:58:24","dde24f519824ffcbf04ca4633dbb10aa","2022-11-08 05:50:09.000","2022-11-08 05:50:09.000","9999-12-31 00:00:00.000"
500079,10097,"APARTMENT","Private room","nice","france",3,1,1,59,0.33,19.67,"BUDGET","2019-05-16 13:49:01.000","2026-08-06T10:58:24","b36648d23f8850132933e1168b0cf324","2019-05-16 13:49:01.000","2019-05-16 13:49:01.000","9999-12-31 00:00:00.000"
500080,10096,"CONDOMINIUM","Entire home/apt","marseille","france",2,1,1,70,0.50,35.00,"BUDGET","2025-10-13 16:32:14.000","2026-08-06T10:58:24","43c66c6faf6e1fdc5ed5d70407124f29","2025-10-13 16:32:14.000","2025-10-13 16:32:14.000","9999-12-31 00:00:00.000"
500081,10094,"APARTMENT","Hotel room","marseille","france",3,1,1,69,0.33,23.00,"BUDGET","2024-05-03 01:26:56.000","2026-08-06T10:58:24","612d3abc22f59e81b45f00042ff0e467","2024-05-03 01:26:56.000","2024-05-03 01:26:56.000","9999-12-31 00:00:00.000"
500082,10040,"LOFT","Entire home/apt","marseille","france",4,2,2,83,0.50,20.75,"MID_RANGE","2023-12-25 15:55:10.000","2026-08-06T10:58:24","1afcb7ddc8d6f3815956a4606873e257","2023-12-25 15:55:10.000","2023-12-25 15:55:10.000","9999-12-31 00:00:00.000"
500083,10082,"CONDOMINIUM","Entire home/apt","montpellier","france",6,3,3,123,0.50,20.50,"MID_RANGE","2025-04-16 04:56:27.000","2026-08-06T10:58:24","8d6ecce304a1dd887a63c1f45ed9e574","2025-04-16 04:56:27.000","2025-04-16 04:56:27.000","9999-12-31 00:00:00.000"
500084,10019,"HOUSE","Entire home/apt","lille","france",6,3,2,120,0.50,20.00,"MID_RANGE","2024-07-01 19:58:31.000","2026-08-06T10:58:24","a7dfe0815be3afa30a32113dcd9314d8","2024-07-01 19:58:31.000","2024-07-01 19:58:31.000","9999-12-31 00:00:00.000"
500085,10005,"HOUSE","Shared room","bordeaux","france",9,4,2,59,0.44,6.56,"BUDGET","2022-11-01 01:59:27.000","2026-08-06T10:58:24","d7cb6d6aed6230c9672f2d32146dcd8e","2022-11-01 01:59:27.000","2022-11-01 01:59:27.000","9999-12-31 00:00:00.000"
500086,10084,"CONDOMINIUM","Entire home/apt","paris","france",2,1,1,134,0.50,67.00,"MID_RANGE","2025-08-22 22:36:51.000","2026-08-06T10:58:24","d55229a2d96a81406a6c0c5e22ccae36","2025-08-22 22:36:51.000","2025-08-22 22:36:51.000","9999-12-31 00:00:00.000"
500087,10091,"CONDOMINIUM","Entire home/apt","marseille","france",3,2,1,75,0.67,25.00,"MID_RANGE","2024-06-18 03:50:35.000","2026-08-06T10:58:24","3d626d2a689de406ae3ec12e8c06be56","2024-06-18 03:50:35.000","2024-06-18 03:50:35.000","9999-12-31 00:00:00.000"
500088,10092,"APARTMENT","Private room","marseille","france",5,2,2,67,0.40,13.40,"BUDGET","2024-08-28 11:46:16.000","2026-08-06T10:58:24","41975dc10833f10e03659479e0842896","2024-08-28 11:46:16.000","2024-08-28 11:46:16.000","9999-12-31 00:00:00.000"
500089,10039,"LOFT","Private room","lille","france",5,3,3,54,0.60,10.80,"BUDGET","2021-04-14 17:03:51.000","2026-08-06T10:58:24","6850cac876dcde36fc2b2e1f95a6b736","2021-04-14 17:03:51.000","2021-04-14 17:03:51.000","9999-12-31 00:00:00.000"
500090,10031,"APARTMENT","Entire home/apt","nantes","france",4,2,1,97,0.50,24.25,"MID_RANGE","2021-09-05 19:18:19.000","2026-08-06T10:58:24","6765c13c500d3243b2d80050afc3ca2c","2021-09-05 19:18:19.000","2021-09-05 19:18:19.000","9999-12-31 00:00:00.000"
500091,10092,"APARTMENT","Private room","toulouse","france",5,3,2,68,0.60,13.60,"BUDGET","2024-10-13 20:55:48.000","2026-08-06T10:58:24","c4a50b503fa208b76c883fd58973d120","2024-10-13 20:55:48.000","2024-10-13 20:55:48.000","9999-12-31 00:00:00.000"
500092,10088,"APARTMENT","Private room","marseille","france",7,3,2,85,0.43,12.14,"MID_RANGE","2021-04-21 23:17:06.000","2026-08-06T10:58:24","da742b07e80707d660446576e3553ba5","2021-04-21 23:17:06.000","2021-04-21 23:17:06.000","9999-12-31 00:00:00.000"
